id,created_at,username,name,text,likes,retweets,replies,quotes,impressions,reply_type,sentiment,sentiment_score,is_excluded
2038844019095339326,2026-03-31T05:01:08.000Z,CommonSenseiSF,CommonSenseiSF💥♻️,How many laws has Jackie Fielder broken and is this why she is so pro-criminal and anti-law enforcement? https://t.co/KSzCSwOBbR,3,0,0,0,80,Not tagged,negative,-0.4767,False
2038813621900161240,2026-03-31T03:00:21.000Z,sfchronicle,San Francisco Chronicle,"Supervisor Jackie Fielder, who represents the Mission, Bernal Heights and the Portola, will make a decision about her next steps after she recovers. https://t.co/mOtUpwG3Ga",1,1,3,1,1365,Not tagged,neutral,0.0,True
2038784515322372394,2026-03-31T01:04:41.000Z,CommonSenseiSF,CommonSenseiSF💥♻️,"I want all Epstein files released.  I also want Jackie Fielder to face consequences for deliberately and brazenly breaking the law.  BUT, if SF politicians and voters give her a pass and protect her from consequences, then please be silent about other politicians breaking laws. https://t.co/6x6bZH3Poh",8,0,0,0,244,Not tagged,positive,0.7684,False
2038733729846497621,2026-03-30T21:42:53.000Z,KyleLChong,Dr. Kyle L. Chong 張陳創庭 🌁🌹🌻🍉,I worry that it’s only a change in course because of the rumor mill. We love you Jackie fielder thank you for CONTINUING TO represent us in D9! https://t.co/dTdDtbbrLa,3,0,0,0,105,Not tagged,positive,0.6239,False
2038733316778840144,2026-03-30T21:41:15.000Z,KQEDnews,KQED News,San Francisco Supervisor Jackie Fielder Takes Medical Leave for Mental Health https://t.co/TEe05zlnLX,0,0,0,0,295,Not tagged,negative,-0.0516,True
2038730474496065789,2026-03-30T21:29:57.000Z,THDwellers,Telegraph Hill Dwellers,In Support of Jackie Fielder -      Semaphore The Telegraph Hill Dwellers stand firmly with District 9 Supervisor Jackie Fielder during this challenging and highly public moment. https://t.co/L6VKtpDNez,1,0,0,0,76,Not tagged,positive,0.4854,False
2038692785058906342,2026-03-30T19:00:11.000Z,nbcbayarea,NBC Bay Area,"Staffers with the office of San Francisco District 9 Supervisor Jackie Fielder asked for privacy and patience as she navigates a ""mental health condition"" that has led her to announce a leave of absence. https://t.co/fDvMQ1P2Is",2,1,7,0,1537,Not tagged,negative,-0.0516,False
2038661441306189930,2026-03-30T16:55:38.000Z,MatchMap,MatchMap,Gonna just place this here about the people talking moral high ground on Jackie Fielder right now. https://t.co/p7ndkar8Oz,0,0,0,0,117,Not tagged,neutral,0.0,False
2038646795912253563,2026-03-30T15:57:27.000Z,SFist,SFist,"Before deciding her next steps, District 9 Supervisor Jackie Fielder announced Sunday she’s taking time off as she manages her mental health, but she aims to stay in office.  https://t.co/7hRCPWhATi",1,0,3,0,969,Not tagged,neutral,0.0,True
2038644068516085821,2026-03-30T15:46:36.000Z,yinyang_yo_,Coconut Tree City 🥥🌴,"Im gonna try to maintain a bit of compassion here but I think what's happening with Jackie Fielder is that politics and being a politician is really not for everyone

Its a stressful and nearly thankless job, and unlike political organizing, youre not in a bubble to protect you https://t.co/7nQJuBIuhq",12,1,0,0,661,Not tagged,neutral,-0.0129,False
2038622831295230339,2026-03-30T14:22:13.000Z,auweia1,bluoz,"This is the reason Jackie Fielder changed her mind and won't resign. Peskin likely told her that

Lurie could push it over her confidential memo leak but it's not likely two thirds of the supervisors are going to vote to convict

https://t.co/DxstD3KFp8 https://t.co/TQnJadbzUJ",132,10,17,4,13959,Not tagged,neutral,-0.0469,False
2038617377500188869,2026-03-30T14:00:33.000Z,sfchronicle,San Francisco Chronicle,"Supervisor Jackie Fielder, who represents the Mission, Bernal Heights and the Portola, will make a decision about her next steps after she recovers. https://t.co/bngYQ90m40",1,0,2,0,1053,Not tagged,neutral,0.0,True
2038576267725873207,2026-03-30T11:17:11.000Z,Twolfrecovery,T Wolf 🌁,"The previous D9 Supervisor in SF, Hilary Ronen checked out the last year of her term. Jackie Fielder gets elected and has a mental health breakdown less than a year in. Politics is a nasty business not for the faint of heart. 🤷‍♂️ https://t.co/eB63DP6sWV",107,7,11,0,5840,Not tagged,negative,-0.5574,False
2038514288147705929,2026-03-30T07:10:54.000Z,ArleighFrisco,Arleigh Frisco,"This Jackie Fielder is an elected supervisor in San Francisco, and the real shock is that nobody cares she's incompetent. That’s how broken the politics are here. People are worn down, checked out, and no longer paying attention. All of them, mayor, supervisors, all useless. https://t.co/u3FUaKoQTF",1,0,0,0,144,Not tagged,negative,-0.9001,False
2038497931154927851,2026-03-30T06:05:54.000Z,greenbergnation,Richie Greenberg,"Statement posted this evening, by staff of SF Supervisor Jackie Fielder - who is taking a leave of absence but has not resigned: https://t.co/ewRRdAPMwv",33,7,20,1,2808,Not tagged,positive,0.2523,False
2038457796036079909,2026-03-30T03:26:25.000Z,SusanDReynolds,💥Susan Dyer Reynolds🗞️,This is from a Jackie Fielder Instagram story that ran at around 3 a.m. on the day she had “turmoil in her office” and checked herself into the hospital. https://t.co/KK2AHZAxDi,323,26,87,24,243690,Not tagged,neutral,0.0,False
2038457379600347148,2026-03-30T03:24:46.000Z,SusanDReynolds,💥Susan Dyer Reynolds🗞️,"“Disclosure: This reporter briefly worked with Jackie Fielder in 2018 at The Worker Agency, a communications firm.” Joe Jr. is quick to make up stories about reporters working with politicians but he’s the only one here who has done it, and his bias shows. https://t.co/n1jQHw3pL4",34,5,2,0,1392,Not tagged,negative,-0.1531,False
2038454227194749017,2026-03-30T03:12:15.000Z,NahBabyNahNah,NahBabyNah,"Influential Lefty San Fran Supervisor breaks silence on resignation rumors and personal health crisis Jackie Fielder, one of San Francisco’s most outspoken progressive supervisors, is no longer planning to resign from office. https://t.co/hnDFgLhMYb https://t.co/CSJsvHtc03",2,1,0,0,167,Not tagged,negative,-0.7906,False
2038443844031680830,2026-03-30T02:30:59.000Z,sfchronicle,San Francisco Chronicle,"Supervisor Jackie Fielder, who represents the Mission, Bernal Heights and the Portola, will make a decision about her next steps after she recovers. https://t.co/JOGo7hnkEi",3,0,13,2,24804,Not tagged,neutral,0.0,True
2038442834743706025,2026-03-30T02:26:58.000Z,MLNow,Mission Local,"JUST IN: Supervisor Jackie Fielder has changed course &amp; says she will remain in office.

She is in the hospital &amp; seeking mental health care. She will seek a leave of absence, &amp; it is unclear how long she will be out. 

https://t.co/WexHR3UW2u",190,31,63,13,45069,Not tagged,positive,0.25,True
2038441689141109205,2026-03-30T02:22:25.000Z,demianbulwa,Demian Bulwa,S.F. Supervisor Jackie Fielder delays decision on resignation as she navigates 'mental health condition' https://t.co/Ku7k5ePyiJ,4,0,3,0,525,Not tagged,negative,-0.296,False
2038438460764414292,2026-03-30T02:09:36.000Z,Tapestry_Newss,sonali maitra,The Jackie Fielder Problem https://t.co/cph5GkY62c,0,0,0,0,108,Not tagged,negative,-0.4019,False
2038406271859319155,2026-03-30T00:01:41.000Z,CommonSenseiSF,CommonSenseiSF💥♻️,Jackie Fielder should be personally liable for any damages incurred by San Francisco for breaking attorney-client privilege. https://t.co/WdIM0MArDY,73,5,2,0,5278,Not tagged,negative,-0.1027,False
2038396750625690038,2026-03-29T23:23:51.000Z,SusanDReynolds,💥Susan Dyer Reynolds🗞️,I’m sure it’s comforting for Jackie Fielder to know an organization that supported credibly accused sexual assaulters Jacobo and Ortiz stands “unequivocally” with her. https://t.co/5HRSCFPBQP,50,7,4,1,1582,Not tagged,positive,0.6249,False
2038350173429248292,2026-03-29T20:18:46.000Z,Twin_Pox,Twin Pox,"""We took every possible position on the mayor's race!""  

""The one consistent thing--we're totally good people. Just look at what we wrote the morning after a young woman, Jackie Fielder, announced she was in the hospital:""",0,0,1,0,211,Not tagged,positive,0.54,False
2038344187150520761,2026-03-29T19:54:59.000Z,SFist,SFist,"After two weeks of absence at City Hall and recent staff changes, including an aide leaving for personal reasons, District 9 Supervisor Jackie Fielder announced from a hospital bed Friday that she planned to resign due to an undisclosed health crisis. https://t.co/DcUVnRwZpi",4,2,1,0,2606,Not tagged,negative,-0.7579,True
